Team,ELO
"
Oklahoma",1822.39
"
Texas A&M",1816.16
"
Texas",1800.87
"
Arkansas",1792.54
"
Florida State",1790.34
"
Florida",1776.47
"
UCLA",1775.38
"
Tennessee",1771.99
"
Oregon",1767.85
"
Clemson",1763.09
"
Texas Tech",1744.70
"
LSU",1742.03
"
Arizona",1737.39
"
South Carolina",1727.75
"
Stanford",1724.06
"
Virginia Tech",1716.80
"
Ohio State",1702.33
"
Alabama",1697.31
"
Nebraska",1691.73
"
Duke",1690.48
"
Grand Canyon",1685.27
"
Liberty",1671.10
"
Mississippi State",1663.51
"
Virginia",1657.10
"
FAU",1653.86
"
Oklahoma State",1647.81
"
Ole Miss",1646.68
"
North Carolina",1643.97
"
California",1638.72
"
Nevada",1634.36
"
South Florida",1628.97
"
Auburn",1624.52
"
Northwestern",1617.45
"
San Diego State",1612.33
"
Washington",1609.60
"
Arizona State",1599.32
"
Southeastern Louisiana",1598.55
"
Omaha",1593.30
"
McNeese",1590.66
"
Cal State Fullerton",1587.38
"
UCF",1584.15
"
BYU",1583.26
"
Iowa",1578.82
"
North Florida",1578.24
"
Indiana",1577.02
"
Chattanooga",1576.71
"
Marist",1576.69
"
Georgia",1572.68
"
Iowa State",1569.99
"
Michigan",1567.80
"
Kentucky",1560.88
"
Missouri",1556.53
"
Fresno State",1548.00
"
Baylor",1547.26
"
Eastern Kentucky",1547.20
"
Texas State",1541.43
"
Saint John's",1540.27
"
Western Kentucky",1538.24
"
Louisiana",1537.30
"
Charlotte",1536.47
"
Wisconsin",1531.26
"
Georgia Tech",1530.10
"
Central Arkansas",1529.55
"
Delaware",1522.02
"
Southern Illinois",1517.46
"
Purdue",1514.45
"
Binghamton",1514.09
"
Jacksonville State",1507.60
"
Coastal Carolina",1505.96
"
UNCG",1505.78
"
Marshall",1505.39
"
Connecticut",1502.53
"
Princeton",1496.93
"
Boise State",1492.86
"
Belmont",1491.65
"
Louisville",1490.88
"
North Texas",1490.06
"
Saint Mary's College",1488.59
"
Harvard",1485.10
"
Idaho State",1481.78
"
Saint Thomas",1480.38
"
Northern Iowa",1479.49
"
Syracuse",1477.29
"
Wichita State",1476.58
"
Troy",1475.77
"
ULM",1475.02
"
Dayton",1472.29
"
Boston University",1471.78
"
Eastern Illinois",1471.68
"
Nicholls",1471.41
"
Mercer",1470.44
"
East Carolina",1470.05
"
Austin Peay",1469.81
"
Penn State",1469.55
"
Notre Dame",1468.69
"
South Dakota State",1466.06
"
Santa Clara",1465.92
"
Tarleton State",1463.63
"
Louisiana Tech",1462.98
"
Sam Houston State",1462.56
"
James Madison",1461.43
"
North Carolina State",1461.13
"
Miami (OH)",1457.65
"
Kansas",1457.09
"
Creighton",1456.20
"
Charleston",1453.66
"
Samford",1453.34
"
Radford",1452.97
"
Elon",1449.62
"
South Carolina Upstate",1447.56
"
Minnesota",1447.45
"
Ball State",1445.31
"
Middle Tennessee",1442.06
"
Ohio",1440.12
"
Appalachian State",1439.69
"
Long Beach State",1437.09
"
Stetson",1436.58
"
Hawaii",1433.70
"
Brown",1432.81
"
Columbia",1432.71
"
Georgia Southern",1432.24
"
New Mexico State",1432.11
"
Incarnate Word",1426.69
"
Oregon State",1424.47
"
Army",1422.26
"
Howard",1422.11
"
Pittsburgh",1419.84
"
Houston",1417.18
"
Wofford",1416.93
"
Sacramento State",1415.82
"
San Jose State",1415.69
"
Saint Louis",1415.67
"
Villanova",1415.51
"
North Alabama",1415.35
"
Campbell",1412.69
"
Central Michigan",1412.57
"
Florida A&M",1412.15
"
Loyola-Marymount",1411.05
"
Lehigh",1410.65
"
FIU",1405.98
"
Seton Hall",1405.43
"
Boston College",1405.10
"
Southeast Missouri",1405.09
"
FGCU",1404.85
"
UNLV",1404.20
"
Illinois State",1404.18
"
Southern Miss",1400.88
"
Long Island",1399.97
"
SIUE",1394.86
"
UAB",1393.81
"
Hofstra",1387.43
"
Siena",1386.56
"
UC Santa Barbara",1385.19
"
South Alabama",1382.98
"
Cal State Northridge",1382.85
"
Akron",1380.58
"
UNCW",1380.44
"
Michigan State",1379.65
"
Utah State",1376.56
"
Southern Utah",1376.34
"
UTEP",1375.43
"
Illinois",1375.29
"
Longwood",1374.42
"
Robert Morris",1372.96
"
Missouri State",1371.78
"
Butler",1370.90
"
George Washington",1369.99
"
Winthrop",1366.81
"
Weber State",1364.30
"
Iona",1361.45
"
Maryland",1360.70
"
Stony Brook",1358.69
"
Saint Francis (PA)",1356.52
"
California Baptist",1352.94
"
Fairfield",1351.96
"
Lipscomb",1349.99
"
Fordham",1347.72
"
Providence",1346.07
"
South Dakota",1345.70
"
Murray State",1345.69
"
Utah",1344.57
"
Saint Joseph's",1343.86
"
Seattle University",1340.22
"
Stephen F. Austin",1339.22
"
UTA",1332.84
"
Lamar",1332.68
"
Southern Indiana",1328.18
"
Prairie View A&M",1327.32
"
Cleveland State",1324.89
"
Abilene Christian",1324.51
"
Rutgers",1324.35
"
Charleston Southern",1321.64
"
Jacksonville",1320.75
"
Northern Colorado",1317.44
"
Bradley",1316.48
"
Colorado State",1312.73
"
UTSA",1312.36
"
Tulsa",1310.18
"
Toledo",1310.09
"
IU Indianapolis",1306.10
"
Loyola-Chicago",1304.53
"
San Diego",1304.06
"
UC Riverside",1301.79
"
Albany",1299.85
"
New Mexico",1297.57
"
UMBC",1296.32
"
Northern Illinois",1295.42
"
Indiana State",1294.28
"
Dartmouth",1293.09
"
Lindenwood",1292.29
"
Purdue Fort Wayne",1291.84
"
Canisius",1291.47
"
Gardner-Webb",1284.94
"
Utah Valley",1284.28
"
North Dakota State",1283.00
"
Western Carolina",1281.66
"
Northern Kentucky",1280.70
"
Drake",1278.05
"
UC San Diego",1277.63
"
Tennessee State",1271.30
"
North Dakota",1268.64
"
Buffalo",1264.84
"
Jackson State",1263.49
"
Alabama State",1263.15
"
Rider",1263.04
"
Central Connecticut",1259.05
"
East Tennessee State",1258.39
"
Cornell",1253.15
"
Quinnipiac",1251.54
"
Yale",1251.19
"
Pacific",1250.46
"
Bryant",1248.13
"
Queens",1248.09
"
Memphis",1248.04
"
Western Michigan",1246.50
"
Tennessee Tech",1246.34
"
Bethune-Cookman",1246.22
"
Houston Christian",1242.85
"
Bucknell",1239.66
"
Sacred Heart",1238.89
"
Fairleigh Dickinson",1237.09
"
Norfolk State",1232.42
"
Green Bay",1231.65
"
UC Davis",1231.12
"
Southern",1227.92
"
Valparaiso",1226.30
"
Le Moyne",1222.95
"
Towson",1220.63
"
Furman",1220.31
"
Morgan State",1218.25
"
Delaware State",1217.57
"
UMass-Lowell",1209.63
"
Niagara",1206.69
"
Colgate",1204.87
"
Oakland",1202.45
"
UMass",1202.15
"
Evansville",1199.36
"
Presbyterian College",1196.18
"
Kennesaw State",1194.95
"
Utah Tech",1193.12
"
North Carolina Central",1193.09
"
Wagner",1192.81
"
George Mason",1185.61
"
DePaul",1183.90
"
Georgia State",1183.63
"
South Carolina State",1182.96
"
Tennessee-Martin",1182.76
"
Cal State Bakersfield",1181.94
"
Texas A&M-Corpus Christi",1179.00
"
Texas Southern",1178.76
"
Bowling Green",1178.60
"
Cal Poly",1174.33
"
Portland State",1173.37
"
Kent State",1167.51
"
Stonehill",1160.93
"
Alabama A&M",1157.28
"
Bellarmine",1148.06
"
West Georgia",1144.79
"
Arkansas-Pine Bluff",1143.56
"
Georgetown",1140.96
"
Grambling State",1136.49
"
North Carolina A&T",1134.61
"
Rhode Island",1129.04
"
Youngstown State",1125.00
"
Northwestern State",1122.56
"
Merrimack",1120.04
"
Saint Bonaventure",1119.28
"
East Texas A&M",1110.49
"
Detroit",1110.19
"
Lafayette",1105.63
"
UIC",1104.03
"
Morehead State",1102.85
"
Maine",1101.14
"
UMKC",1099.31
"
Hampton",1099.20
"
Western Illinois",1093.11
"
Monmouth",1092.70
"
Saint Peter's",1091.37
"
Manhattan",1089.65
"
Drexel",1086.26
"
Penn",1082.78
"
Alcorn State",1078.52
"
Montana",1060.72
"
Mercyhurst",1040.78
"
Mount Saint Mary's",1036.43
"
Holy Cross",1031.46
"
Coppin State",1016.79
"
Mississippi Valley State",976.32
"
Maryland Eastern Shore",964.29